,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,BLOCK,LOT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALEDATE
40,2.0,BATHGATE,07 RENTALS - WALKUP APARTMENTS,3031.0,60.0,4589 PARK AVENUE,,10458.0,25.0,0.0,25.0,"4,779","18,975",1912.0,2.0,C1,0,2020-01-22
41,2.0,BATHGATE,07 RENTALS - WALKUP APARTMENTS,3031.0,63.0,4585 PARK AVENUE,,10458.0,25.0,0.0,25.0,"4,787","18,975",1912.0,2.0,C1,0,2020-01-22
42,2.0,BATHGATE,07 RENTALS - WALKUP APARTMENTS,3032.0,4.0,2412 WEBSTER AVENUE,,10458.0,8.0,0.0,8.0,"4,336","9,240",1909.0,2.0,C1,"1,400,000",2020-01-16
43,2.0,BATHGATE,07 RENTALS - WALKUP APARTMENTS,3032.0,54.0,4683 PARK AVENUE,,10458.0,8.0,0.0,8.0,"4,025","9,600",1910.0,2.0,C1,"203,650",2020-02-24
44,2.0,BATHGATE,08 RENTALS - ELEVATOR APARTMENTS,3050.0,70.0,2277 BATHGATE AVENUE,,10457.0,89.0,0.0,89.0,"19,749","81,676",2007.0,2.0,D1,"4,463,828",2020-01-24
52,2.0,BATHGATE,29 COMMERCIAL GARAGES,3032.0,25.0,N/A WEBSTER AVENUE,,10458.0,0.0,0.0,0.0,"7,539",0,,4.0,G7,0,2020-05-28
54,2.0,BATHGATE,29 COMMERCIAL GARAGES,3041.0,14.0,458 CYRUS PLACE,,10458.0,0.0,0.0,0.0,"3,750",0,,4.0,G7,0,2020-01-16
56,2.0,BATHGATE,30 WAREHOUSES,2897.0,24.0,1620 WEBSTER AVENUE,,10457.0,0.0,2.0,2.0,"93,035","35,490",1967.0,4.0,E1,"33,072,265",2020-02-28
57,2.0,BATHGATE,30 WAREHOUSES,2897.0,140.0,1624 WEBSTER AVENUE,,10457.0,0.0,1.0,1.0,"53,060","30,870",1950.0,4.0,E1,"33,072,265",2020-02-28
59,2.0,BATHGATE,30 WAREHOUSES,3040.0,31.0,461 EAST 186 STREET,,10458.0,0.0,1.0,1.0,"5,000","1,500",1995.0,4.0,E2,"1,120,000",2020-05-06
60,2.0,BATHGATE,31 COMMERCIAL VACANT LAND,3030.0,24.0,417 EAST 180 STREET,,10457.0,0.0,0.0,0.0,"1,769",0,,4.0,V1,"224,015",2020-01-31
69,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4707.0,75.0,1146 E 213TH STREET,,10469.0,1.0,0.0,1.0,"1,786","1,018",1945.0,1.0,A5,"474,900",2020-04-20
70,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4708.0,27.0,1137 EAST 213 STREET,,10469.0,1.0,0.0,1.0,"2,233","1,637",1945.0,1.0,A5,"519,000",2020-05-29
73,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4709.0,25.0,1135 EAST 214TH STREET,,10469.0,1.0,0.0,1.0,"1,710","1,732",1945.0,1.0,A5,"470,000",2020-02-12
77,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4714.0,12.0,1140 EAST 219 STREET,,10469.0,1.0,0.0,1.0,"1,723","1,998",1950.0,1.0,A5,0,2020-01-02
79,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4723.0,59.0,3480 EASTCHESTER ROAD,,10469.0,1.0,0.0,1.0,"3,843","1,216",1910.0,1.0,A1,"480,000",2020-04-21
80,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4724.0,21.0,3453 KINGSLAND AVENUE,,10469.0,1.0,0.0,1.0,"2,283","1,112",1910.0,1.0,A1,"440,000",2020-01-06
84,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,27.0,3333 WILSON AVENUE,,10469.0,1.0,0.0,1.0,"1,900","1,738",1940.0,1.0,A5,"350,000",2020-01-27
85,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,28.0,3331 WILSON AVE,,10469.0,1.0,0.0,1.0,"1,900","1,738",1940.0,1.0,A5,"506,000",2020-04-03
86,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,45.0,3302 BOUCK AVE,,10469.0,1.0,0.0,1.0,"2,000","2,230",1950.0,1.0,A5,"470,000",2020-06-30
88,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,55.0,3324 BOUCK AVENUE,,10469.0,1.0,0.0,1.0,"1,900","1,681",1940.0,1.0,A5,"430,000",2020-01-27
89,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,57.0,3328 BOUCK AVENUE,,10469.0,1.0,0.0,1.0,"1,900","1,681",1940.0,1.0,A5,"420,000",2020-01-22
90,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,74.0,1278 GIVAN AVENUE,,10469.0,1.0,0.0,1.0,"1,887","1,280",1955.0,1.0,A5,0,2020-06-10
92,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4734.0,112.0,3276 BOUCK AVENUE,,10469.0,1.0,0.0,1.0,"1,800","1,782",1955.0,1.0,A5,"436,000",2020-03-19
96,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4735.0,57.0,3352 WILSON AVENUE,,10469.0,1.0,0.0,1.0,"1,900","1,681",1930.0,1.0,A5,"548,000",2020-03-23
99,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4736.0,63.0,3354 FISH AVENUE,,10469.0,1.0,0.0,1.0,"1,775","1,585",1935.0,1.0,A5,"435,000",2020-01-24
101,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4736.0,143.0,3312A FISH AVENUE,,10469.0,1.0,0.0,1.0,"1,858","1,260",1935.0,1.0,A5,0,2020-06-10
105,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4739.0,55.0,3242 WILSON AVENUE,,10469.0,1.0,0.0,1.0,"2,000","2,220",1950.0,1.0,A5,"367,000",2020-06-09
107,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4741.0,1.0,3250 SEYMOUR AVENUE,,10469.0,1.0,0.0,1.0,"1,600","1,536",1945.0,1.0,A5,0,2020-04-22
108,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4741.0,27.0,3211 FENTON AVENUE,,10469.0,1.0,0.0,1.0,"2,050","1,408",1920.0,1.0,A5,"527,000",2020-04-07
119,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4750.0,49.0,3320 TIEMANN AVENUE,,10469.0,1.0,0.0,1.0,"1,710","1,890",1950.0,1.0,A5,"375,180",2020-01-24
120,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4750.0,49.0,3320 TIEMANN AVENUE,,10469.0,1.0,0.0,1.0,"1,710","1,890",1950.0,1.0,A5,"440,000",2020-06-16
121,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4750.0,53.0,3328 TIEMANN AVE,,10469.0,1.0,0.0,1.0,"2,328","1,890",1950.0,1.0,A5,"525,000",2020-06-19
122,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4750.0,66.0,3354 TIEMANN AVENUE,,10469.0,1.0,0.0,1.0,"1,710","1,539",1950.0,1.0,A5,"515,000",2020-01-21
126,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4751.0,64.0,3350 GUNTHER AVE,,10469.0,1.0,0.0,1.0,"2,090",948,1960.0,1.0,A2,"540,000",2020-01-27
127,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4760.0,13.0,3129 FENTON,,10469.0,1.0,0.0,1.0,"5,000","1,602",1935.0,1.0,A1,0,2020-01-08
132,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4774.0,120.0,3027 WICKHAM AVENUE,,10469.0,1.0,0.0,1.0,"2,660","1,690",1950.0,1.0,A5,"377,000",2020-02-11
133,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4778.0,46.0,3132 GRACE AVENUE,,10469.0,1.0,0.0,1.0,"2,890","1,890",1960.0,1.0,A5,"525,000",2020-04-14
136,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4780.0,3.0,3061 GRACE AVENUE,,10469.0,1.0,0.0,1.0,"2,653","1,362",1960.0,1.0,A5,"529,000",2020-05-28
139,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4781.0,21.0,3043 EDSON AVENUE,,10469.0,1.0,0.0,1.0,"1,723","1,116",1955.0,1.0,A5,"200,000",2020-01-29
141,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4784.0,55.0,2944 MICKLE AVENUE,,10469.0,1.0,0.0,1.0,"1,755","1,116",1960.0,1.0,A5,"539,000",2020-02-13
143,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4784.0,59.0,2952 MICKLE AVE,,10469.0,1.0,0.0,1.0,"1,755","1,116",1960.0,1.0,A5,"515,000",2020-02-20
146,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4788.0,27.0,2915 GUNTHER AVENUE,,10469.0,1.0,0.0,1.0,"2,375","1,861",1925.0,1.0,A2,0,2020-03-26
150,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4795.0,132.0,2802 BRUNER AVENUE,,10469.0,1.0,0.0,1.0,"1,706","1,732",1965.0,1.0,A5,"490,000",2020-05-01
152,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4885.0,26.0,3423 GRACE AVENUE,,10469.0,1.0,0.0,1.0,"4,750","1,339",1930.0,1.0,A1,"585,000",2020-06-26
154,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4886.0,31.0,3419 EDSON AVENUE,,10469.0,1.0,0.0,1.0,"2,375","1,300",1925.0,1.0,A1,"529,000",2020-06-30
157,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4887.0,35.0,3426 EDSON AVENUE,,10469.0,1.0,0.0,1.0,"2,500","1,440",1925.0,1.0,A1,"180,000",2020-01-09
161,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4898.0,55.0,1224 EAST 224 STREET,,10466.0,1.0,0.0,1.0,"5,000","1,440",1910.0,1.0,A1,"580,000",2020-01-08
166,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4903.0,77.0,1166 EAST 225 STREET,,10466.0,1.0,0.0,1.0,"1,840","1,384",1970.0,1.0,A5,0,2020-03-19
169,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4929.0,55.0,1131 GRENADA PLACE,,10466.0,1.0,0.0,1.0,"3,236","1,276",1959.0,1.0,A1,"475,000",2020-02-04
170,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4934.0,61.0,1173 GRENADA PLACE,,10466.0,1.0,0.0,1.0,"1,530","1,188",1941.0,1.0,A5,"436,800",2020-04-24
173,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4939.0,12.0,3883 AMUNDSON AVENUE,,10466.0,1.0,0.0,1.0,"1,800","1,701",1957.0,1.0,A5,"225,000",2020-02-13
174,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4939.0,106.0,3892 SETON AVENUE,,10466.0,1.0,0.0,1.0,"2,042","1,701",1958.0,1.0,A5,"579,000",2020-04-13
175,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4940.0,48.0,3846 AMUNDSON,,10466.0,1.0,0.0,1.0,"1,913","1,392",1963.0,1.0,A5,"327,000",2020-06-03
177,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4946.0,15.0,2176 LIGHT STREET,,10466.0,1.0,0.0,1.0,"3,500","2,052",1930.0,1.0,A2,"557,000",2020-03-12
178,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4946.0,18.0,2186 LIGHT STREET,,10466.0,1.0,0.0,1.0,"3,000","1,304",1930.0,1.0,A1,"86,000",2020-02-26
180,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4950.0,54.0,3721 ROMBOUTS AVENUE,,10466.0,1.0,0.0,1.0,"1,800","1,364",1925.0,1.0,A5,"505,000",2020-01-23
181,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4950.0,58.0,3713 ROMBOUTS AVENUE,,10466.0,1.0,0.0,1.0,"1,805","1,364",1925.0,1.0,A5,"250,000",2020-05-27
182,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4950.0,67.0,3708 DYRE AVENUE,,10466.0,1.0,0.0,1.0,"2,824","2,032",1910.0,1.0,A1,"322,000",2020-01-28
189,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4958.0,79.0,1327 EAST 233 STREET,,10466.0,1.0,0.0,1.0,"1,404","1,728",1960.0,1.0,A5,"384,000",2020-01-08
190,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4959.0,35.0,2108 STRANG AVENUE,,10466.0,1.0,0.0,1.0,"2,500","2,475",1925.0,1.0,A1,0,2020-01-21
192,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4965.0,26.0,3936 HARPER AVENUE,,10466.0,1.0,0.0,1.0,"2,375","1,224",1910.0,1.0,A1,"475,000",2020-04-30
195,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4971.0,29.0,3996 ROMBOUTS AVENUE,,10466.0,1.0,0.0,1.0,"4,332","1,304",1930.0,1.0,A1,"459,900",2020-01-31
198,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4979.0,11.0,4032 ELY,,10466.0,1.0,0.0,1.0,"1,710","1,152",1940.0,1.0,A5,"535,600",2020-02-28
200,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4979.0,16.0,4042 ELY AVENUE,,10466.0,1.0,0.0,1.0,"1,710","1,152",1940.0,1.0,A5,"390,000",2020-03-17
202,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4979.0,50.0,4087 GRACE AVENUE,,10466.0,1.0,0.0,1.0,"2,494","1,260",1950.0,1.0,A5,"375,000",2020-06-16
203,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4981.0,27.0,4064 EDSON AVENUE,,10466.0,1.0,0.0,1.0,"5,000","1,998",1950.0,1.0,A1,0,2020-04-02
204,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4981.0,44.0,4088 EDSON AVENUE,,10466.0,1.0,0.0,1.0,"1,800","1,798",1955.0,1.0,A5,"530,000",2020-01-10
212,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4987.0,76.0,2143 STRANG AVENUE,,10466.0,1.0,0.0,1.0,"2,500","1,944",1958.0,1.0,A5,0,2020-04-18
213,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,4987.0,77.0,2141 STRANG AVENUE,,10466.0,1.0,0.0,1.0,"2,500","1,902",1958.0,1.0,A5,"526,000",2020-03-23
214,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,5227.0,7.0,2044 TILLOTSON AVENUE,,10475.0,1.0,0.0,1.0,"3,750","1,712",1956.0,1.0,A1,"82,000",2020-04-07
215,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,5227.0,7.0,2044 TILLOTSON,,10475.0,1.0,0.0,1.0,"3,750","1,712",1956.0,1.0,A1,10,2020-03-06
218,2.0,BAYCHESTER,01 ONE FAMILY DWELLINGS,5228.0,49.0,3336 PALMER AVENUE,,10475.0,1.0,0.0,1.0,"3,500","1,704",1920.0,1.0,A2,"530,000",2020-01-30
221,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4709.0,21.0,1145 EAST 214 STREET,,10469.0,2.0,0.0,2.0,"1,900","2,125",1945.0,1.0,B1,"595,000",2020-02-19
224,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4711.0,16.0,3732 LACONIA AVE,,10469.0,2.0,0.0,2.0,"1,493","2,300",1955.0,1.0,B1,"760,000",2020-03-16
229,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4714.0,6.0,3770 LACONIA AVENUE,,10469.0,2.0,0.0,2.0,"1,888","2,061",1950.0,1.0,B9,"690,000",2020-06-09
230,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4714.0,29.0,1415 OAKLEY STREET,,10469.0,2.0,0.0,2.0,"1,900","2,125",1950.0,1.0,B9,"380,250",2020-06-25
233,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4717.0,38.0,1463 NEEDHAM AVENUE,,10469.0,2.0,0.0,2.0,"2,850","2,110",1950.0,1.0,B9,"795,000",2020-03-27
237,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4721.0,107.0,1462 HICKS STREET,,10469.0,2.0,0.0,2.0,"1,966","3,168",2004.0,1.0,B1,"725,000",2020-01-13
238,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4723.0,23.0,3445 MICKLE AVENUE,,10469.0,2.0,0.0,2.0,"2,390","3,419",1999.0,1.0,B1,"749,000",2020-03-27
239,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4723.0,52.0,3462 EASTCHESTER ROAD,,10469.0,2.0,0.0,2.0,"2,095","2,071",1960.0,1.0,B9,"660,000",2020-03-06
242,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4724.0,41.0,3450 MICKLE AVENUE,,10469.0,2.0,0.0,2.0,"2,474","2,112",1950.0,1.0,B1,0,2020-04-17
244,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4725.0,14.0,1484 NEEDHAM AVENUE,,10469.0,2.0,0.0,2.0,"1,710","1,939",1955.0,1.0,B1,0,2020-01-03
245,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4725.0,15.0,1486 NEEDHAM AVENUE,,10469.0,2.0,0.0,2.0,"1,710","1,912",1955.0,1.0,B1,"565,000",2020-06-11
246,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4725.0,31.0,1468 NEEDHAM,,10469.0,2.0,0.0,2.0,"2,375","2,464",1920.0,1.0,B2,"225,000",2020-01-24
248,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4726.0,40.0,3560 EASTCHESTER ROAD,,10469.0,2.0,0.0,2.0,"2,967","2,750",1960.0,1.0,B9,0,2020-01-27
249,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4728.0,88.0,3415 TIEMANN AVENUE,,10469.0,2.0,0.0,2.0,"2,629","1,926",1960.0,1.0,B1,0,2020-03-16
250,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4733.0,32.0,1255 GIVAN AVENUE,,10469.0,2.0,0.0,2.0,"1,931","1,975",1950.0,1.0,B1,"560,000",2020-06-04
252,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4733.0,37.0,3316 PEARSALL AVENUE,,10469.0,2.0,0.0,2.0,"1,967","1,975",1950.0,1.0,B1,"400,000",2020-02-27
256,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4738.0,57.0,3350 FENTON AVE,,10469.0,2.0,0.0,2.0,"2,500","2,582",1935.0,1.0,B1,0,2020-03-18
258,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4741.0,39.0,3216 SEYMOUR AVE,,10469.0,2.0,0.0,2.0,"2,500","2,160",1920.0,1.0,B1,"775,000",2020-03-19
266,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4746.0,7.0,3251 EASTCHESTER ROAD,,10469.0,2.0,0.0,2.0,"2,200","1,475",1955.0,1.0,B1,"730,000",2020-04-03
268,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4747.0,28.0,3215 MICKLE AVENUE,,10469.0,2.0,0.0,2.0,"4,763","2,356",1955.0,1.0,B1,"870,000",2020-05-13
269,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4747.0,32.0,3207 MICKLE AVENUE,,10469.0,2.0,0.0,2.0,"1,710","2,052",1955.0,1.0,B1,"549,000",2020-02-11
272,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4749.0,1.0,3352 KINGSLAND AVENUE,,10469.0,2.0,0.0,2.0,"3,150","1,794",1950.0,1.0,B3,"631,000",2020-03-11
274,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4752.0,23.0,1748 GIVAN AVENUE,,10469.0,2.0,0.0,2.0,"3,617","2,800",1970.0,1.0,B1,0,2020-06-09
276,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4752.0,70.0,3208 GUNTHER AVENUE,,10469.0,2.0,0.0,2.0,"1,880","2,080",1970.0,1.0,B1,"730,000",2020-06-24
278,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4752.0,79.0,3228 GUNTHER AVENUE,,10469.0,2.0,0.0,2.0,"1,900","2,080",1970.0,1.0,B1,"500,000",2020-06-19
279,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4752.0,119.0,3205 GUNTHER AVENUE,,10469.0,2.0,0.0,2.0,"1,900","2,620",1970.0,1.0,B1,"710,000",2020-06-11
284,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4759.0,23.0,3143 SEYMOUR AVE,,10469.0,2.0,0.0,2.0,"5,000","2,755",1920.0,1.0,B2,"953,460",2020-01-13
285,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4760.0,7.0,3145 FENTON AV,,10469.0,2.0,0.0,2.0,"2,500","1,986",1950.0,1.0,B1,"600,000",2020-03-09
288,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4762.0,162.0,3054 FENTON AVENUE,,10469.0,2.0,1.0,3.0,"2,060","2,400",1920.0,1.0,S2,"387,000",2020-02-07
291,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4765.0,28.0,3119 TIEMANN AVE,,10469.0,2.0,0.0,2.0,"1,900","1,680",1960.0,1.0,B1,0,2020-01-16
296,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4769.0,17.0,3127 GUNTHER AVENUE,,10469.0,2.0,0.0,2.0,"1,647","1,683",1960.0,1.0,B9,"605,000",2020-04-06
299,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4773.0,9.0,3057 GUNTHER,,10469.0,2.0,0.0,2.0,"1,853","1,596",1960.0,1.0,B1,"740,000",2020-03-11
302,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4773.0,44.0,3012 TIEMANN AVENUE,,10469.0,2.0,0.0,2.0,"2,660","2,455",1955.0,1.0,B1,0,2020-02-06
307,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4779.0,61.0,1958 BURKE AVENUE,,10469.0,2.0,0.0,2.0,"2,137","2,680",1970.0,1.0,B9,"650,000",2020-05-15
308,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4779.0,65.0,1966 BURKE AVENUE,,10469.0,2.0,0.0,2.0,"2,006","2,680",1970.0,1.0,B9,"480,000",2020-03-05
312,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4785.0,24.0,2935 TIEMANN AVENUE,,10469.0,2.0,0.0,2.0,"1,895","2,500",1960.0,1.0,B1,0,2020-03-16
313,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4785.0,28.0,2915 TIEMANN AVENUE,,10469.0,2.0,0.0,2.0,"1,895","2,500",1960.0,1.0,B1,"675,500",2020-02-14
314,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4785.0,34.0,1665 ARNOW AVENUE,,10469.0,2.0,0.0,2.0,"2,821","2,500",1960.0,1.0,B1,0,2020-03-02
315,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4785.0,57.0,2942 KINGSLAND AVENUE,,10469.0,2.0,0.0,2.0,"1,900","1,840",1960.0,1.0,B1,"650,000",2020-04-07
317,2.0,BAYCHESTER,02 TWO FAMILY DWELLINGS,4785.0,65.0,2952 KINGSLAND AVENUE,,10469.0,2.0,0.0,2.0,"1,900","1,840",1960.0,1.0,B1,"640,000",2020-06-10
